<!--...-->	Define um comentário
<!DOCTYPE> 	Define o tipo de documento
<a>		Define um hiperlink
<abbr>		Define uma abreviação ou um acrônimo
<address>	Define informações de contato para o autor ou proprietário de um documento
<area>		Define uma área dentro de um mapa de imagem
<article>	Define um artigo
<aside>		Define o conteúdo, além do conteúdo da página
<audio>		Define o conteúdo de som
<b>		Define o texto em negrito
<base>		Especifica o destino base para todos os URLs relativos
<bdi>		Isola uma parte do texto que pode ser formatado em uma direção diferente de outro texto fora dele
<bdo>		Substitui a direção do texto atual
<blockquote>	Define uma seção que é citada de outra fonte
<body>		Define o corpo do documento
<br>		Define uma quebra de linha única
<button>	Define um botão clicável
<canvas>	Usado para desenhar gráficos via script
<caption>	Define uma legenda de tabela
<cite>		Define o título de uma obra
<code>		Define um pedaço de código de computador
<col>		Especifica as propriedades da coluna para cada coluna dentro de um elemento <colgroup>  
<colgroup>	Especifica um grupo de uma ou mais colunas em uma tabela para formatação
<data>		Vincula o conteúdo fornecido a uma tradução legível por máquina
<datalist>	Especifica uma lista de opções predefinidas para controles de entrada
<dd>		Define uma descrição / valor de um termo em uma lista de descrição
<del>		Define o texto que foi excluído de um documento
<details>	Define detalhes adicionais que o usuário pode visualizar ou ocultar
<dfn>		Representa a instância de definição de um termo
<dialog>	Define uma caixa de diálogo ou janela
<div>		Define uma seção em um documento
<dl>		Define uma lista de descrição
<dt>		Define um termo / nome em uma lista de descrição
<em>		Define texto enfatizado
<embed>		Define um contêiner para um aplicativo externo
<fieldset>	Agrupa elementos relacionados em um formulário
<figcaption>	Define uma legenda para um elemento tipo <figure>
<figure>	Especifica conteúdo auto-contido
<footer>	Define um rodapé para um documento ou seção
<form>		Define um formulário HTML para entrada do usuário
<h1> até <h6>	Define cabeçalhos de HTML
<head>		Define informações sobre o documento
<header>	Define um cabeçalho para um documento ou seção
<hr>		Marca uma quebra de tema com uma linha horizontal
<html>		Define a raiz de um documento HTML
<i>		Define uma parte do texto em uma voz ou humor alternativo
<iframe>	Define um quadro inline
<img>		Define uma imagem
<input>		Define a entrada do teclado
<label>		Define um rótulo para o elemnto <input>
<legend>	Define uma legenda para um elemento <fieldset>
<li>		Define um item da lista
<link>		Define o relacionamento entre um documento e um recurso externo com um arquivo css
<main>		Especifica o conteúdo principal de um documento
<map>		Define um mapa de imagem do lado do cliente
<mark>		Define texto marcado / realçado
<meta>		Define metadados sobre um documento HTML
<meter>		Define uma medida escalar dentro de um intervalo
<nav>		Define links de navegação
<noscript>	Define um conteúdo alternativo quando o navegador não suporta scripts
<object>	Define um objeto incorporado
<ol>		Define uma lista ordenada
<optgroup>	Define um grupo de opções relacionadas em uma lista suspensa
<option>	Define uma opção em uma lista suspensa
<output>	Define o resultado de um cálculo
<p>		Define um parágrafo
<param>		Define um parâmetro para um objeto
<picture>	Define um contêiner para vários recursos de imagem
<pre>		Define o texto pré-formatado
<progress>	Representa o progresso de uma tarefa
<q>		Define uma cotação curta
<rp>		Define o que mostrar em navegadores que não suportam anotações em ruby
<rt>		Define uma explicação / pronúncia de caracteres
<ruby>		Define uma anotação rubi
<s>		Define o texto que não está mais correto
<samp>		Define a saída de amostra de um programa de computador
<script>	Define um script do lado do cliente
<section>	Define uma seção em um documento
<select>	Define uma lista suspensa
<small>		Define texto menor
<source>	Define vários recursos de mídia para elementos <video> e <audio>
<span>		Define uma seção em um documento
<strong>	Define um texto em negrito
<style>		Define informações de estilo para um documento
<sub>		Define o texto subscrito
<summary>	Define um cabeçalho visível para um elemento <details>
<sup>		Define o texto sobrescrito
<svg>		Define um contêiner para gráficos SVG
<table>		Define uma tabela
<tbody>		Agrupa o conteúdo do corpo em uma tabela
<td>		Define uma célula em uma tabela
<template>	Define um modelo
<textarea>	Define um controle de entrada de múltiplas linhas (área de texto)
<tfoot>		Agrupa o conteúdo do rodapé em uma tabela
<th>		Define uma célula de cabeçalho em uma tabela
<thead>		Agrupa o conteúdo do cabeçalho em uma tabela
<time>		Define uma data / hora
<title>		Define um título para o documento
<tr>		Define uma linha em uma tabela
<track>		Define faixas de texto para elementos de mídia ( <video> e <audio>)
<u>		Define o texto sublinhado
<ul>		Define uma lista não ordenada
<var>		Define uma variável
<video>		Define um vídeo ou filme
<wbr>		Define uma possível quebra de linha
